                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3693,                 2.4955,                 4.1048,                 1.2964,                 0.0263,                 0.1875,                0.01508,                0.00827,                 0.0263,                 0.1875,                0.01495,                0.00642,                  1.294,                 1.9228,                 3.5696,                 1.3925,                 0.0892,                 0.0012,                 0.0012
                      1,                  1.039,                 1.2887,                 2.6172,                 1.1215,                0.67373,                0.40625,                0.50784,                0.38455,                0.67373,                0.40625,                 0.5104,                0.31211,                0.88362,                 1.1284,                 2.0448,                  1.024,               0.077438,              0.0024381,              0.0024381
                      2,                0.93004,                0.81419,                 1.8709,                  1.004,                0.49739,                  0.625,                0.52693,                 0.3902,                0.49739,                  0.625,                0.52752,                0.31938,                0.91068,                 1.1047,                 2.3769,                  1.011,               0.065612,              0.0036119,              0.0036119
                      3,                0.84194,                0.93595,                 1.7968,                0.95532,                0.66379,                  0.625,                0.64874,                 0.4871,                0.66379,                  0.625,                0.64874,                0.42186,                0.92601,                  1.148,                 2.0175,                0.98795,               0.053721,              0.0047213,              0.0047213
                      4,                0.87787,                0.93948,                 1.5632,                0.92946,                0.73299,                  0.625,                0.66825,                0.49211,                0.73299,                  0.625,                0.66825,                 0.4275,                0.98766,                 1.1491,                    1.4,                 1.0064,               0.041766,              0.0057664,              0.0057664
                      5,                0.88428,                 1.0157,                 2.1304,                0.95906,                0.57167,                  0.125,                0.25654,                0.19886,                0.57167,                  0.125,                0.25697,                0.13979,                 1.0622,                 1.3388,                 3.8954,                 1.1119,               0.029747,              0.0067471,              0.0067471
                      6,                0.91404,                 1.0224,                 4.1485,                 1.0229,                0.38706,                0.65625,                0.57808,                 0.4405,                0.38706,                0.65625,                0.57808,                0.36613,                 1.1072,                 1.1708,                 5.5061,                  1.207,               0.017663,              0.0076635,              0.0076635
                      7,                 0.9013,                 1.0495,                  4.641,                 1.0839,                0.39927,                0.65625,                0.55608,                0.42883,                0.39927,                0.65625,                0.55608,                0.34877,                 1.1053,                 1.1518,                 5.3358,                  1.194,              0.0082675,              0.0082675,              0.0082675
                      8,                0.85132,                0.85645,                 3.0147,                0.99678,                0.73684,                 0.4375,                0.59115,                0.43234,                0.73684,                 0.4375,                0.59115,                0.38911,                 1.0251,                 1.2386,                 7.5763,                 1.2167,              0.0082675,              0.0082675,              0.0082675
                      9,                0.82205,                0.71685,                   3.59,                0.98039,                0.90467,                  0.125,                0.18633,                0.14529,                0.90467,                  0.125,                0.18522,                0.14098,                 1.0217,                  1.525,                 3.7522,                 1.0821,                0.00802,                0.00802,                0.00802
